uk,geo_name,geo_network,province_tr,district_tr,erdogan,kilicdaroglu
relation_1277696,Kesan,TR22-districts,Edirne,Keşan,20392,36950
relation_1833421,Lalapasa,TR22-districts,Edirne,Lalapaşa,2209,2473
relation_1834584,Meric,TR22-districts,Edirne,Meriç,3949,5547
relation_1834221,Edirne merkez,TR22-districts,Edirne,Merkez,36075,83273
relation_1834222,Suloglu,TR22-districts,Edirne,Süloğlu,1809,2520
relation_1834585,Uzunkopru,TR22-districts,Edirne,Uzunköprü,13645,28646
relation_1830505,Agin,TR23-districts,Elazığ,Ağın,1148,697
relation_1829615,Alacakaya,TR23-districts,Elazığ,Alacakaya,2795,874
relation_1829616,Aricak,TR23-districts,Elazığ,Arıcak,5196,1564
relation_1830506,Baskil,TR23-districts,Elazığ,Baskil,7391,1433
relation_1829562,Karakocan,TR23-districts,Elazığ,Karakoçan,7596,7775
relation_1830508,Keban,TR23-districts,Elazığ,Keban,3207,1173
relation_1829599,Kovancilar,TR23-districts,Elazığ,Kovancılar,16818,3920
relation_1830509,Maden,TR23-districts,Elazığ,Maden,3972,1975
relation_1830507,Elazig merkez,TR23-districts,Elazığ,Merkez,183268,82004
relation_1829617,Palu,TR23-districts,Elazığ,Palu,9623,1178
relation_1830510,Sivrice,TR23-districts,Elazığ,Sivrice,3890,1014
relation_1754250,Cayirli,TR24-districts,Erzincan,Çayırlı,3147,2356
relation_1754244,Ilic,TR24-districts,Erzincan,İliç,4240,1641
relation_1754245,Kemah,TR24-districts,Erzincan,Kemah,2894,1819
relation_1754246,Kemaliye,TR24-districts,Erzincan,Kemaliye,2103,874
relation_1754243,Erzincan merkez,TR24-districts,Erzincan,Merkez,62086,40049
relation_1754247,Otlukbeli,TR24-districts,Erzincan,Otlukbeli,1220,266
relation_1754248,Refahiye,TR24-districts,Erzincan,Refahiye,5207,2355
relation_1754249,Tercan,TR24-districts,Erzincan,Tercan,5701,3924
relation_1754251,Uzumlu,TR24-districts,Erzincan,Üzümlü,5645,3128
relation_1832853,Askale,TR25-districts,Erzurum,Aşkale,10891,2169
relation_1832781,Aziziye,TR25-districts,Erzurum,Aziziye,30741,7133
relation_1832479,Cat,TR25-districts,Erzurum,Çat,5958,2505
relation_1831341,Hinis,TR25-districts,Erzurum,Hınıs,5237,6381
relation_1832453,Horasan,TR25-districts,Erzurum,Horasan,15118,3037
relation_1832625,Ispir,TR25-districts,Erzurum,İspir,8382,1508
relation_1832452,Karacoban,TR25-districts,Erzurum,Karaçoban,2339,6080
relation_1832451,Karayazi,TR25-districts,Erzurum,Karayazı,3527,7950
relation_1832469,Koprukoy,TR25-districts,Erzurum,Köprüköy,5995,1262
relation_1832937,Narman,TR25-districts,Erzurum,Narman,6173,1196
relation_1832682,Oltu,TR25-districts,Erzurum,Oltu,15367,3344
relation_1832462,Olur,TR25-districts,Erzurum,Olur,3548,804
relation_1832938,Palandoken,TR25-districts,Erzurum,Palandöken,74253,27913
relation_1832939,Pasinler,TR25-districts,Erzurum,Pasinler,12816,2577
relation_1832624,Pazaryolu,TR25-districts,Erzurum,Pazaryolu,2313,260
relation_1832461,Senkaya,TR25-districts,Erzurum,Şenkaya,5863,3996
relation_1832940,Tekman,TR25-districts,Erzurum,Tekman,3187,6764
relation_1832941,Tortum,TR25-districts,Erzurum,Tortum,9354,1170
relation_1832683,Uzundere,TR25-districts,Erzurum,Uzundere,4371,827
